<Fe>,,,,Aplica tambien para ,,,,,
,,<IdMunicipio>,,,1,,Código del municipio,13.4.3. Municipios ** Buscar link codigos de municipios DANE,cac:/Delivery/cac:DeliveryParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode/cac:RegistrationAddress/cbc:ID
,,<Ciudad>,,,0..1,,Nombre del municipio,,cac:/Delivery/cac:DeliveryParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode/cac:RegistrationAddress/cbc:CityName
,,<CodigoPostal>,,,0..1,,Código Postal,,cac:/Delivery/cac:DeliveryParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode/cac:RegistrationAddress/cbc:PostalZone
,,<Departamento>,,,0..1,,Código del departamento,,cac:/Delivery/cac:DeliveryParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode/cac:RegistrationAddress/cbc:CountrySubentity
,,<IdDepartamento>,,,1,,Nombre del departamento,13.4.2. Departamentos (ISO 3166-2:CO),cac:/Delivery/cac:DeliveryParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode/cac:RegistrationAddress/cbc:CountrySubentityCode
,,<Direccion>,,,0..1,,Texto libre con la dirección,,cac:/Delivery/cac:DeliveryParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode/cac:RegistrationAddress/cbc:AddressLine/cbc:Line
,,<CodigoPais>,,,1,,Código del Pais,13.4.1. Países (ISO 3166-1): ** Link ISO 3166-1 de Wikipedia,cac:/Delivery/cac:DeliveryParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode/cac:RegistrationAddress/cbc:Country/cbc:IdentificationCode
,,<Pais>,,,0..1,,Nombre del Pais,,cac:/Delivery/cac:DeliveryParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:ID
,,<IdMunicipioPhysicalLocation>,,,0..1,,Código del municipio,13.4.3. Municipios ** Buscar link codigos de municipios DANE,cac:/Delivery/cac:DeliveryParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:CityName
,,<CiudadPhysicalLocation>,,,0..1,,Nombre del municipio,,cac:/Delivery/cac:DeliveryParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:PostalZone
,,<CodigoPostalPhysicalLocation>,,,0..1,,Código Postal,,cac:/Delivery/cac:DeliveryParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:CountrySubentity
,,<IdDepartamentoPhysicalLocation>,,,0..1,,Código del departamento,13.4.2. Departamentos (ISO 3166-2:CO),cac:/Delivery/cac:DeliveryParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:CountrySubentityCode
,,<DepartamentoPhysicalLocation>,,,0..1,,Nombre del departamento,,cac:/Delivery/cac:DeliveryParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:AddressLine/cbc:Line
,,<DireccionPhysicalLocation>,,,0..1,,Texto libre con la dirección,,cac:/Delivery/cac:DeliveryParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:Country/cbc:IdentificationCode
,,<CodigoPaisPhysicalLocation>,,,0..1,,Código del Pais,13.4.1. Países (ISO 3166-1): ** Link ISO 3166-1 de Wikipedia,cac:AccountingSupplierParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:Country/cbc:Name
,,<PaisPhysicalLocation>,,,0..1,,Nombre del Pais,,cac:/Delivery/cac:DeliveryParty/cac:Party/cac:Party/cac:Contact/cbc:ElectronicMail
,,<Email>,,,0..1,,Correo electrónico de contacto,,
,</Transportista>,,,,,,,,
,<Totales>,,,,,,,,
,,<BaseAfecta/>,,Documento Soporte,1..1,,Valor básico del documento al cual le afectan impuestos,,cac:LegalMonetaryTotal/cbc:TaxExclusiveAmount
,,<BaseExcluida/>,,Documento Soporte,1..1,,Valor básico del documento el cual está exento de impuestos,,
,,<Descuento/>,,Documento Soporte,0..1,,Valor total de descuentos,,cac:LegalMonetaryTotal/cbc:AllowanceTotalAmount
,,<Recargo/>,,Documento Soporte,0..1,,Valor total de recargos,,cac:LegalMonetaryTotal/cbc:ChargeTotalAmount
,,<Moneda/>,,Documento Soporte,1,,Acrónimo de la moneda debe ser COP,,cbc:DocumentCurrencyCode
,,<Redondeo/>,,,0..1,,Redondeo aplicado en los totales,,cac:LegalMonetaryTotal/cbc:PayableRoundingAmount
,,<TotalIva/>,,Documento Soporte,0..1,,Valor total de IVA,,
,,<TotalIca/>,,,0..1,,Valor total de ICA,,
,,<TotalmpoConsumo/>,,Documento Soporte,0..1,,Valor total Impuesto al consumo,,
,,<TotalOtrosImpuestos>,,Documento Soporte,0..1,,Valor total de otros impuestos,,
,,<TotalAnticipos>,,Documento Soporte,0..1,,Valor total de anticipos,,cac:LegalMonetaryTotal/cbc:PrepaidAmount
,,<TotalFactura/>,,Documento Soporte,1..1,,Valor total del documento despues de impuestos,,
,,<TotalaPagar>,,Documento Soporte,1..1,,Valor total a pagar del documento,,cac:LegalMonetaryTotal/cbc:PayableAmount
